id,character,title,voice_line,requirements,about,nation
395,Xianyun,About Xianyun: Cooking,"To be sure, a Supreme Cuisine Machine is no substitute for a human touch if one wishes to prepare a truly magnificent meal. Nevertheless, using it frees up one's time to work on a new, improved model, which in turn saves more time, and so on and so forth... Hah, there will come a day, once this machine has been iterated to impeccability, that the power to cook all the delicacies known to humankind shall be within one's grasp.",Friendship Lv. 4,,Liyue
396,Xianyun,About Us: Companions,"One took the liberty of surveying the land from the skies above so as to fashion this route-finding compass for your future traveling convenience. Heh, when have you ever met such a considerate companion as oneself, hmm? ... ...Already intimately acquainted with said terrain, you say? Hmph... Well, be that as it may, human memory is notoriously error-prone. One of these days, you'll get yourself hopelessly lost, and then you shall be thanking one profusely for one's foresight.",,,Liyue
397,Xianyun,About Us: Bonds,"Despite one's lack of interest in worldly attachments, one is quite conscious indeed of the importance of ""bonds."" Such a simple word for a thing so profound that it all but defies articulation... Take oneself and those old fossils, for example. Ah, sometimes we go years without meeting, and even then we find no shortage of things to quarrel about at our next reunion. Yet so deep runs our bond that no matter the physical distance between us, one will never feel alone and adrift in this world... One holds you in high esteem, child, and is pleased to count you as a friend. Do you also treasure the bond we share?",Friendship Lv. 6,,Liyue
398,Xianyun,About the Vision,"Rex Lapis once said that a Vision is a call to duty — to act as a guardian, watching over humankind, and that whether we choose to withdraw into the mountains or embrace the clamor of the city, we must never shirk that duty. Now, the age of humankind is upon us, but one will continue to cherish this duty long into the future.",Friendship Lv. 4; A New Star Approaches,,Liyue
399,Xianyun,Something to Share,"That mechanical bird of mine is only a prototype. One had aspirations for a much larger model, hollow inside so that it could unfurl into a vehicle with which to embark on sight-seeing journeys with one's old friends... The challenges of powering and operating such a device, however, proved somewhat insurmountable. After all, it required pitch control, the ability to change form, not to mention the safety features... *sigh* If only Guizhong were still here. She, no doubt, would offer many baffling but ingenious solutions to this conundrum.",,,Liyue
400,Xianyun,Interesting Things,"Mt. Aocang is an ideal place for spiritual cultivation. It possesses natural beauty beyond compare, and the pure, unalloyed essence of nature flows strong all around. Once upon a time, many curious birds and beasts would gather and watch as one meditated, and very soon the peace and tranquility would be replaced by a chaotic chorus of chirping and screeching... and yet, one never found it offended the ear.",,,Liyue
401,Xianyun,About Ganyu,"One once asked Ganyu what she typically works on during her overtime hours. Her response was filled with hideous-sounding words, such as ""meeting minutes,"" ""summaries,"" ""annual reports,"" ""financial projections""... Hmph, were she not of qilin blood, and had one not taught to her the secrets of cultivating health, this avalanche of bureaucratic writ would have surely overwhelmed her... When you see her next, would you check that she's been drinking her Qingxin Infusion of Clear Sight on a daily basis?",Friendship Lv. 4,Ganyu,Liyue
402,Xianyun,About Shenhe,"Shenhe told me that once, when she was delivering an order for Wanmin Restaurant, she ran across the rooftops to save time. Her customer was terrified when she jumped down onto their doorstep, and was about to call for the Millelith... Fortunately, Shenhe disappeared as quickly as she arrived, leaving the food delivery behind and making haste before the customer had time to react. It seems she is growing more proficient at handling crises all the time — one could not be more pleased.",Friendship Lv. 4; The Crane Returns on the Wind,Shenhe,Liyue
403,Xianyun,About Zhongli,"When Rex Lapis first heard of one's plan to take up residence in Liyue Harbor, he recited a long and detailed list of considerations for the furnishing and adornment of a home. Natural lighting, ventilation, bespoke woodwork, procuring porcelain, placement of plants and flowers... One's mind felt ready to explode from the deluge of information. Do all facets of life in the human world take so much effort?",Friendship Lv. 4; A Thousand Moonlit Miles,Zhongli,Liyue
404,Xianyun,About Xiao,"The Conqueror of Demons is even more withdrawn than oneself — he has been sighted a mere handful of times at social gatherings over the centuries... One was interested to learn that you are on rather good terms with him — what sort of conversations do the two of you tend to have? Oh, and do let me know when you next plan to see him. Perhaps one could make some tofu pudding for you to pass on to him.",Friendship Lv. 4,Xiao,Liyue
405,Xianyun,About Hu Tao,"That young lady says the most bizarre-sounding things, yet she appears to be rather highly regarded by the staff of the Wangsheng Funeral Parlor — even Rex Lapis himself saw fit to serve under her in some sort of ""consultancy"" capacity... Allegedly, she is similarly peculiar when it comes to her taste in food. One must admit, one finds eccentrics like her rather intriguing.",Friendship Lv. 4,Hu Tao,Liyue
406,Xianyun,About Xiangling,"One happened to mention the Supreme Cuisine Machine in conversation with Xiangling once, but one was rather taken aback when she responded by saying that a dish is inauthentic unless it is prepared by hand... Hmph, are one's devices not also the work of one's hands? Inauthentic indeed... A contest is in order! ...Although, her mastery of Liyue cuisine is indeed impressive... Yes — the contest shall have to wait until one has made a few improvements to the device...",Friendship Lv. 4,Xiangling,Liyue
407,Xianyun,About Ningguang,"The Tianquan conducts her business with great adroitness, and is meticulous in her speech. Hmph, one must admit that Liyue is thriving under the governance of the Qixing. One has been observing her closely in the hope of discovering her secret... Ahem, that was for your ears only — please do not relay it to her.",Friendship Lv. 4; A New Star Approaches,Ningguang,Liyue
408,Xianyun,About Keqing,"Keqing is a thoughtful child. She visits me on behalf of the Qixing every festival without fail, and always brings a gift. With such a capable and considerate colleague by her side, perhaps one needn't worry too much about Ganyu...",Friendship Lv. 4,Keqing,Liyue
409,Xianyun,About Yun Jin,"There are many Liyue operas adapted from stories about the adepti, including some based on one's own life and exploits... One has never watched those, of course — what could be more embarrassing than watching someone else play oneself on the stage? One would, however, be interested to evaluate how well Yun Jin did in her adaptation of Shenhe's story, when one has time to go and see it.",Friendship Lv. 4; The Crane Returns on the Wind,Yun Jin,Liyue
410,Xianyun,About Yaoyao,"Yaoyao once pinched my glasses from my face and tried them on for herself — she found it terribly entertaining, and couldn't stop giggling... Ah, children are able to find all sorts of ways to amuse themselves.",Friendship Lv. 4,Yaoyao,Liyue
411,Xianyun,About Gaming,"One is very fond of Gaming. He is good-hearted and entertaining in conversation, but never grandiloquent. We first met when one was resting by a lake, and he very kindly shared some of his provisions with me. Later, he commented that one seemed to be a wise elder, worthier of respect than even the adepti themselves... Hehe, this wise elder will be sure to look out for him after that.",Friendship Lv. 4,Gaming,Liyue
412,Xianyun,More About Xianyun: I,"You wish to know more about one's past? ...One doubts there would be much worth sharing — it's all ancient history by now. One is more interested to hear about your travels to the far-flung corners of the world... What forms do the gods and immortals of other nations take? Are there any of them as amenable to conversation as oneself? Let us brew some tea, and then you can tell me all about it.",,,Liyue
413,Xianyun,More About Xianyun: II,"There was a time when many mortals longed to seek the guidance of the adepti. One knows not how they discovered the location of one's abode, but every other day or so, one would find people leaving offerings of food at the altar on Mt. Aocang... Hmph, why ever would mortals expect an adeptus to interrupt their meditation for the sake of ingesting a mortal meal? Most bemusing. Nevertheless, since their actions were heartfelt, one saw only fit to indulge in— Ahem, to embrace their offerings once they had departed.",Friendship Lv. 3,,Liyue
414,Xianyun,More About Xianyun: III,"Then there were those who came right to one's doorstep, requesting to be taken on as disciples. One refused to grant them an audience, but they simply would not leave, and before long, Mt. Aocang had become something of a pilgrims' campsite... One promptly posted a sign outside the abode, decreeing that all would-be disciples must first present ninety-nine dishes over a period of as many days, each dish unique in its recipe and featuring the Qingxin as the main ingredient... Naturally, the crowd soon dispersed. Hmph, to master the adepti arts and the mechanical arts requires supreme talent and the utmost stillness of mind. Training would be a futile endeavor for those who cannot even persevere for a mere three months.",Friendship Lv. 4,,Liyue
415,Xianyun,More About Xianyun: IV,"For all the wondrous feats that can be accomplished by one who has mastered the mechanical arts, one often uses it for purely recreational purposes. There was one year when it snowed heavily in Liyue, and Mt. Aocang was covered in several feet of snow. Seeing everyone cooped up in their abodes with nothing to do, one created a Snowdrift Mechanism for skiing on the mountains. One was having a tremendous time of it along with Guizhong and Streetward Rambler... until, of course, Moon Carver noticed as much and decided to join in. Moments later, he had managed to send the mechanism flying off the rails and plummeted deep into a snow bank. It took us hours to dig him out... Later, one introduced a great many safety features to the mechanism, to the point where it could be safely piloted by even a three-year-old child. Although this did entail a compromise on the top speed of the vehicle.",Friendship Lv. 5,,Liyue
416,Xianyun,More About Xianyun: V,"One has read a great many works of popular literature since moving to Liyue Harbor. Those of the chivalric martial arts genre have proven the most entertaining, although the heroes within their pages are all works of the imagination. Would it not be even more compelling to tell the stories of the many such real-life figures with whom one is acquainted? It is a pity that one's disciples are so averse to one sharing the tales of their lives with other people... Perhaps you could relay more of the tales from your travels? One could adapt those into a novel instead.",Friendship Lv. 6; A Thousand Moonlit Miles,,Liyue
417,Xianyun,Xianyun's Hobbies,"When idle and in need of diversion, basking in the winds that travel through the mountains always calms the mind.",,,Liyue
418,Xianyun,Xianyun's Troubles,"Since moving to Liyue Harbor, one has had an endless procession of old friends and new arriving at one's doorstep, either to visit or to invite one out for meals. If this continues, one may soon be running short on Mora...",A Thousand Moonlit Miles,,Liyue
419,Xianyun,Favorite Food,"Eating together with friends always leaves a pleasant taste in the mouth, regardless of what food was consumed.",,,Liyue
420,Xianyun,Least Favorite Food,"An adeptus devotes themselves to spiritual cultivation, to which end the delicacies of the mortal realm are not necessary. When one eats such things, it is not for nourishment, but to enjoy the flavor... So, if you prepare a dish and it does not taste exquisite even to yourself, you may spare yourself the courtesy of offering to share it with me — in fact, you might find you are better off leaving the cooking to me to begin with...",,,Liyue
421,Xianyun,Receiving a Gift: I,"A paragon of both freshness and flavor... Tell me, for how long have you been surreptitiously studying one's culinary secrets?",,,Liyue
422,Xianyun,Receiving a Gift: II,The flavor is secondary — what matters is that you felt the inclination to cook for me at all. I commend your consideration.,,,Liyue
423,Xianyun,Receiving a Gift: III,One's supreme cuisine machine has been lying idle as of late. You are welcome to borrow it.,,,Liyue
424,Xianyun,Birthday,"Here, open this wooden box. It's a miniature mechanical person for your recreational enjoyment. Try playing with it. Observe — if you clap the hands like this, the lotus petals open, the colored lights turn on one set at a time, and then a melody plays. It is that birthday tune that the young and hip of this generation enjoy so much. Certain to add a touch of merriment and levity to your birthday feast... Have a wonderful day.",,,Liyue
425,Xianyun,Feelings About Ascension: Intro,"Given that one spends so much time indoors, it is rather nice to perform a little exercise once in a while.",Ascension Phase 1,,Liyue
426,Xianyun,Feelings About Ascension: Building Up,"Some of these adeptal arts one has not employed in many years... Inevitably, one is a little unpracticed.",Ascension Phase 2,,Liyue
427,Xianyun,Feelings About Ascension: Climax,"Dear me, that expectant look on your face... *sigh* Very well. One shall have to employ one's abilities to a fuller extent from now on.",Ascension Phase 4,,Liyue
428,Xianyun,Feelings About Ascension: Conclusion,"It is through our journey in this world that we gain experience. Power is not everything — the skills of communication are more important. If you have time, let us find a place with a pleasant view where we can admire the scenery, converse, slow down our pace, and simply enjoy being alive.",Ascension Phase 6,,Liyue
429,Shenhe,Hello,"My name is Shenhe. I was born fated to bear the curse of calamity, so I am prone to bring harm to the people around me. The adepti urged me to bind my soul with red ropes to keep my homicidal nature at bay. If you are able to walk alongside me without fear... Hah, very well. Now, give me your hand.",,,Liyue
430,Shenhe,Chat: Home,The assumption that every person has somewhere to call home is naive. I got used to living in the mountains alongside the birds and beasts a long time ago.,,,Liyue
431,Shenhe,Chat: Motto,"Mind be purged, world be saved.",,,Liyue
432,Shenhe,Chat: A Blind Polearm,"My polearm doesn't distinguish friend from foe, and there is clearly a limit to the red ropes' power. That's why I loathe crowded areas.",,,Liyue
433,Shenhe,When It Rains,"In the mortal world, at times likes these, is it not customary to... use an umbrella?",,,Liyue
434,Shenhe,After the Rain,"The sky is clearing up, and so is my mood. I just hope no one shows up to bother me... if they do, I'll just make them disappear.",,,Liyue
435,Shenhe,When Thunder Strikes,"In this weather, I can freeze monsters in place and simply let the lightning bolts take care of the rest. A good way to not get my clothes dirty.",,,Liyue
436,Shenhe,When the Wind Is Blowing,Yes... This reminds me of Master. She loves to ride the swift winds of Qingyun Peak.,,,Liyue
437,Shenhe,Good Morning,"Good morning. The dew is very sweet today, would you like some?",,,Liyue
438,Shenhe,Good Afternoon,"If you feel fatigued after lunch, you should try meditating. It's very effective.",,,Liyue
439,Shenhe,Good Evening,"Do you prefer the artificial light of the cities and towns, or the moonlight in the mountains?",,,Liyue
440,Shenhe,Good Night,"Feel free to rest. I'm a light sleeper, if I hear anything in the vicinity, I'll investigate it for you.",Friendship Lv. 4,,Liyue
441,Shenhe,About Shenhe: Instinct,"For all the training I've had — honing my body and mind, learning the adepti arts — I've mostly been guided by my own instincts. It just comes down to self-preservation. I'm not trying to save the world, so if I wipe out some evil presence and it happens to benefit you, don't thank me. It's just a force of habit.",,,Liyue
442,Shenhe,About Shenhe: Different,"If I treat people kindly, they call me an adeptus, and if I put them in their place, they call me a witch. Heh... The one thing you'll never hear them call me is ""human."" They all seem to agree that I'm fundamentally... different from them.",Friendship Lv. 4,,Liyue
443,Shenhe,About Us: Manners,"I rarely leave the mountains, so I was never taught proper manners. When a conflict arises, I just take care of it the way that comes naturally to me. But if you don't approve of my methods, please do let me know. Even if I don't fully understand your reasoning, I will always defer to you.",,,Liyue
444,Shenhe,About Us: Red Ropes,"My master gave me these red ropes in order to restrain my impulses. But during our journey together, I feel I have finally grasped the key to all of this. Somehow, controlling my strength — knowing when to restrain myself, and when to unleash — it comes more naturally to me now. I think that what saves me from myself is not my red ropes... but you. If you understand what that means to me, please stay by my side.",Friendship Lv. 6; The Crane Returns on the Wind,,Liyue
445,Shenhe,About the Vision,"So this shiny gemstone is called a ""Vision""? Heh... the gifts that fate brings, fate can just easily take away. If one day my connection to this Vision comes to an end, that'll be it, and the light inside of it will go out.",Friendship Lv. 4,,Liyue
446,Shenhe,Something to Share,"Driving evil spirits away comes easily to me. Getting rid of my inner demons, however... Unless you can find a way to let go, all the adepti arts and exorcism techniques in the world can't save you.",,,Liyue
447,Shenhe,Interesting Things,"Why do I always hear people say, ""The first snow of the season is a sight for sore eyes""? We have snow every single day in the mountains. So which instance counts as the ""first snow""? I don't understand what they mean. Please explain this to me.",,,Liyue
448,Shenhe,About Ningguang,"I have no use for the wealth that ordinary people desire. But in the hands of Lady Ningguang, wealth becomes a means of solving complex issues of the kind that no weapons could ever hope to resolve. She understands the unwritten rules of human society, she knows what's in people's hearts... Master once told me that even the adepti aren't able to achieve this. I hold her and her work in high regard.",Friendship Lv. 4,Ningguang,Liyue
449,Shenhe,About Beidou,"I find I don't need to worry about etiquette with her, and unlike with some people, I don't need to rely on non-verbal cues to discern the true meaning of what she's saying. That makes me a lot more comfortable. The only problem is... Well, there are too many people around her all the time, and I heard there's also many crew members on her ship... I need you to go with me. It's the only way I can cope with so many people.",Friendship Lv. 4,Beidou,Liyue
450,Shenhe,About Yun Jin,"Yun Jin performs... It's called ""Liyue opera,"" isn't it? I like this particular type of social interaction. You can get to know about the other person's background without having to actually interact with them one on one. If she ever includes your story in one of her performances, I'm sure the result will end up being quite incredible. I'm looking forward to it.",Friendship Lv. 4,Yun Jin,Liyue
451,Shenhe,About Ganyu,"I've heard many stories about her from my master. She's really quite different from how I originally imagined her... But don't worry, I'll be keeping this to myself. Speaking of Ganyu, her work in Liyue Harbor is unbelievably busy... It seems that there is a price to pay for those who want to integrate into the mortal world.",Friendship Lv. 4,Ganyu,Liyue
452,Shenhe,About Chongyun,"It's hard for me to believe that... I still have living relatives in this world. If he has any difficulties with his training, I am more than willing to help enlighten him. However, he will need to meet me alone in the mountains. Their family is too... sociable. I wouldn't know how to turn down their invitations without being impolite.",Friendship Lv. 4,Chongyun,Liyue
453,Shenhe,About Xingqiu,"I've seen him lean over to you and whisper things in your ear. If he dares threaten you, I will make sure he... Hmm? You mean it's just an in-joke between friends? Genuinely...?",Friendship Lv. 4,Xingqiu,Liyue
454,Shenhe,About Zhongli,"That gentleman claims to be a mortal, yet is very familiar with my master, who is an adeptus. Master once said: ""If you see him drinking on a stone stool in front of my abode, do not disturb him. Let him sit quietly for a while."" And that's precisely what I did.",Friendship Lv. 4,Zhongli,Liyue
455,Shenhe,About Baizhu,"The quality of his medicinal herbs is as good as it gets, he is also easy-going and considerate of others. By comparison, the little snake on his neck has no filter at all... Haha, don't worry, I didn't lift a finger against it, I won't go as far as getting into a quarrel with a snake.",Friendship Lv. 4,Baizhu,Liyue
456,Shenhe,About Hu Tao,"I often see her wandering in the woods singing strange songs. Actually, I must have heard all of her songs several times each by now. I'm used to her singing, but I still find it strange. That being said, I don't hate it either.",Friendship Lv. 4,Hu Tao,Liyue
457,Shenhe,About Xiao,"My first impression of him was that he's not one to smile. After meeting him again more recently, however, he's still as reserved as ever, but... he seems a lot more relaxed now. Maybe he... met someone special.",Friendship Lv. 4; A New Star Approaches,Xiao,Liyue
458,Shenhe,About Xianyun,"The last time Master and Shuyu came to dine at Wanmin Restaurant, I noticed that Shuyu seemed to have adopted a number of Master's mannerisms. It gave me pause for thought... I grew up under Master's care, too. Is it possible that I have subconsciously picked up a thing or two from her as well...?",Friendship Lv. 4; A Thousand Moonlit Miles,Xianyun,Liyue
459,Shenhe,More About Shenhe: I,"Please don't pay any heed to the way most people refer to me. I am not an adeptus, and don't possess any divine abilities. I was born in a branch family of a clan of exorcists, and grew up in the mountains far away from Liyue Harbor. I am but an adeptus's disciple, nothing more, nothing less.",,,Liyue
460,Shenhe,More About Shenhe: II,"When faced with delinquents who are just out to cause trouble, most people will try to reason with them. This course of action perplexes me. Removing the root of the problem and disposing of these ill-intentioned fools seems like the obvious course of action. Why do common folks prefer the labor-intensive route?",Friendship Lv. 3,,Liyue
461,Shenhe,More About Shenhe: III,"I am the apprentice of multiple adepti and have trained alongside them. After a certain point, however, they stopped teaching me new techniques and started focusing on how to control my intense homicidal urges. Oh, don't be nervous... Yes, craters have been left in the ground, and giant trees have been uprooted. But these things only ever happen in the mountains, far away from civilization, and certainly have never affected innocent lives. Besides, I can control myself now.",Friendship Lv. 4,,Liyue
462,Shenhe,More About Shenhe: IV,"My father's intent was to trade my flesh and blood for my mother's life. After he abandoned me in that cave, I still held out hope that he'd come back to rescue me. One day went by. Then two days, three days... I used every ounce of energy in my body to fight off that monster. But as I collapsed on the ground, I finally realized that the day I was waiting for would never come. To this day, I don't which one it is... Was I abandoned because I'm cursed, or is it the way I've been treated in life that has cursed me?",Friendship Lv. 5; The Crane Returns on the Wind,,Liyue
463,Shenhe,More About Shenhe: V,"Once, I secretly left the mountain and returned to my childhood village without telling my master. But it was deserted, and my father had long since passed away. I suddenly realized that the bond between my relatives and I had been completely severed. And nothing that I'd ever cared about in the past could ever have a future. Ever since then, I have abandoned everything related to the mortal world... That is, until I met you.",Friendship Lv. 6; The Crane Returns on the Wind,,Liyue
464,Shenhe,Shenhe's Hobbies,"The most important aspect of meditation is stillness. Let go of all agitation, and let the air around you flow into your body. This technique allows me to quickly focus in on myself. I heard from my master that after meditating beyond a certain point, there is no need to adopt the meditation posture anymore. Adepti can meditate even when standing up... I still have much more to improve on.",,,Liyue
465,Shenhe,Shenhe's Troubles,"The fear of losing the people most important to me, and the desire to save them... This kind of feeling makes my heart ache, I've never experienced anything like it before. It's a burden, yes, but it's also... something to hold onto.",Friendship Lv. 6,,Liyue
466,Shenhe,Favorite Food,"I've sampled numerous dishes during my time away from the mountains, but the truth is that I don't really remember how they taste. The only dish I can never forget the flavor of is that bowl of noodles I ate at home, so long ago... I shouldn't have to remember that. Why do I have to remember that?",,,Liyue
467,Shenhe,Least Favorite Food,"Chew medicinal herbs for long enough, and you can only taste the bitterness... In all the years I trained under the adepti, I had to abstain from all kinds of things, and to a point, I got used to it. But them... ""The common delights of the mortal realm pose no hindrance to the adepti, thus, we may indulge in all manner of dishes as we please""... These are the exact words my master said.",,,Liyue
468,Shenhe,Receiving a Gift: I,"Mmm, this taste... Is it really meant for me?",,,Liyue
469,Shenhe,Receiving a Gift: II,The food you cook is indisputably delicious. I can't refuse it.,,,Liyue
470,Shenhe,Receiving a Gift: III,"No matter. I'm used to this kind of flavor, after all.",,,Liyue
471,Shenhe,Birthday,"I've been told that birthdays are important occasions for most people. They give presents to celebrate the anniversary of the other person's birth. Material possessions aren't really my thing, but... The view of the starry night sky in the mountains is the most beautiful thing I've ever seen in my life. I've frozen this lake and turned it into a mirror, so you can appreciate the reflection of the fleeting clouds and distant stars right up close. This is my way of celebrating your birthday... Hope you like it.",,,Liyue
472,Shenhe,Feelings About Ascension: Intro,The power I harness... It grows stronger.,Ascension Phase 1,,Liyue
473,Shenhe,Feelings About Ascension: Building Up,"If my master were to learn about this, she'd probably have me add some more red ropes...",Ascension Phase 2,,Liyue
474,Shenhe,Feelings About Ascension: Climax,"I haven't been training as single-mindedly lately, and yet it's as if I'm growing stronger and stronger without making a conscious effort... I'm left to assume the only way for me to achieve this is by your side.",Ascension Phase 4,,Liyue
475,Shenhe,Feelings About Ascension: Conclusion,"I once believed that freeing my mind from all agitation was the only way to overcome. But after everything I've experienced recently, I finally understand... Only when the right things weigh on your mind can the desire to protect awaken inside of you. And that turns your power into something... meaningful.",Ascension Phase 6,,Liyue
476,Thoma,Hello,"It's good to meet you at last, Traveler. I've been hearing about you for a long time now. I'm your new buddy, Thoma — as long as that's okay with you, of course!",,,Inazuma
477,Thoma,Chat: Thoma's Treat,"Hey... how about we go for a nice meal some time? My treat, of course.",,,Inazuma
478,Thoma,Chat: Concern,"I feel like there's something I forgot to do... hmm, I tidied the courtyard, put the tea on... Eh, it's probably just my mind playing tricks on me.",,,Inazuma
479,Thoma,Chat: Mora,"I really did spend a lot recently, only 10 Mora left... Still, 10 Mora's better than no Mora!",,,Inazuma
480,Thoma,When It Rains,"Where'd this rain come from? Are you gonna be okay? Here, I'll lend you my coat...",,,Inazuma
481,Thoma,When Thunder Strikes,You don't wanna be out in open country in this kind of weather. You'll get struck by lightning for sure.,,,Inazuma
482,Thoma,When It Snows,"Don't run on the ice... 'cause if you fall down, I won't help you up, you gotta learn somehow.",,,Inazuma
483,Thoma,When the Sun Is Out,Lovely weather we're having! Will you join me for a walk?,,,Inazuma
484,Thoma,Good Morning,"Morning! If you're free, why not come with me to the market? The vegetables are freshest earlier in the day.",,,Inazuma
485,Thoma,Good Afternoon,"On the lunch menu today, we have Sakura Tempura and Tricolor Dango! Here, there's some for you, some for Paimon, and I also put some aside for milady and the man of the clan himself. Ah, wait, I forgot someone... There's none for me...",,,Inazuma
486,Thoma,Good Evening,"Come quick, we gotta get down to the market — they slash the prices on fish around this time of day. Oh, and if you find something that you just can't do without, I'll help you haggle the price down.",,,Inazuma
487,Thoma,Good Night,"Okay, good night. You had a busy day today, you should get some rest, too. Don't stay up late.",,,Inazuma
488,Thoma,About Thoma: Housekeeper,"It was never Ayaka or Ayato's intention to make me the housekeeper, I volunteered. I like this kind of work. Putting everything in order gives me a great sense of achievement, and based on everyone's reactions... Yeah, I think I do a pretty good job.",,,Inazuma
489,Thoma,About Thoma: Meaning,"For me, housework is about keeping a space clean and tidy, so that everyone who lives there has a smile on their face. And now... it looks like I'm responsible for another smile. I'll do my best to deliver!",Friendship Lv. 4,,Inazuma
490,Thoma,About Us: Eating Alone,"Hey, how come you're eating here all alone? ...Uh, is it okay if I join you? Or did you just want some space?",,,Inazuma
491,Thoma,About Us: Oath,"If you hadn't put yourself out there during the Vision Hunt Ceremony and taken on the Raiden Shogun all by yourself, I would've lost my Vision, and with it all my aspirations. I've been thinking about this a lot, and it seems there's only one way I could ever properly repay you...I, Thoma, give to you my weapon and my loyalty, and I promise to fight for you, no matter what.","Friendship Lv. 6; Stillness, the Sublimation of Shadow",,Inazuma
492,Thoma,About the Vision,Those that receive Visions should look after them. I certainly don't plan on losing mine.,Friendship Lv. 4,,Inazuma
493,Thoma,Something to Share,"I've gotten to know all kinds of people over the years, and I'd say that Inazumans are more particular about etiquette than Mondstadters. If you make sure you're always polite to people, it's much easier to get things done.",,,Inazuma
494,Thoma,Interesting Things: Tanuki,"I've always wanted to see a tanuki shapeshifting. They say it can change into all kinds of things, and that it likes to play pranks on passersby. It's a creature with a sense of humor, that's for sure.",,,Inazuma
495,Thoma,Interesting Things: Animals,"Are you an animal person, too? If you are, let me take you to the outskirts some time, it's great. I just need to give a whistle, and all these puppies and kittens will come out of nowhere and start strutting around your ankles, clamoring for your affection. Haha, just imagining it is already brightening my day.",,,Inazuma
496,Thoma,About Yae Miko,"Lady Miko? Wh—What about her? *sigh* Every time Miss Kamisato sends me out to deliver messages, my least-favorite destination is the Grand Narukami Shrine... Oh! N—Not because Lady Miko scares the bejeebers out of me, it's, uh... respect. Yes! She strikes respect deep into my heart, ahahahaha...",Friendship Lv. 4,Yae Miko,Inazuma
497,Thoma,About the Raiden Shogun: Comparison,"In my homeland of Mondstadt, almost everyone has great reverence for the Anemo Archon, Barbatos. But people in Inazuma feel a little differently toward the Shogun. How can I put this... They feel love, respect, gratitude... but also fear.",Friendship Lv. 4,Raiden Shogun,Inazuma
498,Thoma,About the Raiden Shogun: The Unknown,"Honestly, I don't harbor any resentment toward the Shogun. Yes, she almost took my Vision away, but ultimately that's just because of her unique perspective. Everyone has their own perspective, there's nothing strange about that.The only thing I don't understand is her goal in doing so. What does she imagine eternity really looks like for Inazuma? And why is sacrificing her people's aspirations so necessary to achieve it? I can neither understand nor agree with her approach.","Friendship Lv. 4; Stillness, the Sublimation of Shadow",Raiden Shogun,Inazuma
499,Thoma,About Beidou,"The captain of The Crux — a formidable woman indeed. She once promised to take me out onto the open ocean to get a look at the thunderstorm that seals off Inazuma from the outside world. It's a shame that to this day, I've never had the chance to take her up on the offer...","Friendship Lv. 4; Stillness, the Sublimation of Shadow",Beidou,Inazuma
500,Thoma,About Kamisato Ayato,"As head of the Kamisato Clan, he's in a tough position. With all the political upheaval, he has to contend with public disquiet on one hand and a bunch of self-serving, degenerate public officials on the other. It's best not to dwell on it. All I can do is make sure to look out for him when he's at home.",Friendship Lv. 4,Kamisato Ayato,Inazuma
501,Thoma,About Kamisato Ayaka,"Milady is in all respects a well-rounded person: erudite, compassionate, well-mannered, and elegant... The one thing she could do better is to speak her mind more. In fact, watch out for this the next time you're talking to her — sometimes, she looks like she's about to say something, but then she holds back. If that happens, keep asking her opinion, see if you can encourage her to open up a little.","Friendship Lv. 4; Stillness, the Sublimation of Shadow",Kamisato Ayaka,Inazuma
502,Thoma,About Yoimiya,"Of Naganohara Fireworks fame? She's so easy to get along with. Super straightforward, just says whatever she thinks. Oh, and Naganohara fireworks are just incredible, you should take every chance you get to see them in action. Ah, on that note — here, have a coupon!",Friendship Lv. 4,Yoimiya,Inazuma
503,Thoma,About Sayu,"Ah Sayu, stubborn Sayu. I've asked her countless times to teach me ninjutsu, but she always refuses. She even goes out of her way to avoid me now... I'm just a student looking for a teacher, am I really that out of line?",Friendship Lv. 4,Sayu,Inazuma
504,Thoma,About Kujou Sara,"The Tenryou Commission General... Mm... Make sure to be extra careful if you have any dealings with her. She has a lot of power in her hands, and she's not very open to persuasion. Smiling and batting your eyelids certainly won't get you anywhere with her.",Friendship Lv. 4,Kujou Sara,Inazuma
505,Thoma,About Arataki Itto,"Hmm... Word on the street is that he's quite a character — apparently, he even has youkai heritage. Have you met him? If you two are close, maybe you could introduce me sometime. It's good to make friends from all walks of life... youkai included!",Friendship Lv. 4,Arataki Itto,Inazuma
506,Thoma,About Shikanoin Heizou,"Ho, that guy is a detective for the Tenryou Commission. He seems to have his own way of doing things — not the easiest person to get along with. Also... Any situation that involves a detective is probably not one that's going to end well. I think I'll keep on giving him a wide berth.",Friendship Lv. 4,Shikanoin Heizou,Inazuma
507,Thoma,About Jean,"Oh, so Jean from the Gunnhildr Clan is the Master of the Knights of Favonius now? She definitely deserves it, she's known all over for her impeccable conduct... Oh, just the ""Acting"" Grand Master? Haha, well, someone of her standing won't care about titles.",Friendship Lv. 4,Jean,Inazuma
508,Thoma,About Eula,"You've had a run-in with Eula Lawrence before, huh? All I know is that their whole family are about the worst-tempered people you could ever meet. You're better off steering clear of them if you can help it. Ah, now I'm in a Mondstadt mood again... The memories.",Friendship Lv. 4,Eula,Inazuma
